year,pieces,descr,set
2011,608.0,Backhoe Loader,"Set: "
1966,344.0,Motorized Train Set,"Set: "
2016,521.0,Avenjet Space Mission,"Set: "
2011,373.0,Skeleton Bowling<br>-Jet-Copter Encounter,Sets:<br>-
1994,590.0,Freight Rail Runner,"Set: "
1979,77.0,Mobile Rocket Launcher<br>-Mobile Rocket Launcher,Sets:<br>-
2003,216.0,Micro Wheels<br>-Rebel Snowspeeder [Redesign] - Blue box,Sets:<br>-
1983,443.0,Galaxy Commander,"Set: "
2013,117.0,Sky Joust,"Set: "
2016,696.0,Adventure Camp Tree House,"Set: "
2000,53.0,Classic Trial Box,"Set: "
2009,1100.0,Tractor with Trailer,"Set: "
1989,190.0,Forbidden Island,"Set: "
2015,208.0,Pickup Tow Truck<br>-Blaster Bike,Sets:<br>-
2007,639.0,The Bat-Tank: The Riddler and Bane's Hideout,"Set: "
2014,367.0,Turtle Van Takedown,"Set: "
1987,59.0,"Roof Bricks, Red, 45 Degrees","Set: "
1994,277.0,Dune Blaster,"Set: "
1957,20.0,"Sloping Ridge and Valley Bricks, Red<br>-Sloping Ridge and Valley Bricks, Blue",Sets:<br>-
1989,19.0,"Lego Motion 1A, Gyro Bird<br>-Hinges and Couplings",Sets:<br>-
2006,576.0,Adventures in Bikini Bottom,"Set: "
1999,26.0,Helicopter<br>-Car<br>-Kabaya Promotional Set: Car<br>-Motorbike<br>-Head Wear<br>-Crane Truck,Sets:<br>-
1978,400.0,Hospital,"Set: "
1987,196.0,Basic Building Set,"Set: "
2013,642.0,Silver Mine Shootout,"Set: "
2010,67.0,Hero,"Set: "
2012,296.0,Recycling Truck,"Set: "
1993,47.0,Magic Shop,"Set: "
2015,440.0,Naboo Starfighter,"Set: "
1999,12.0,Advent Calendar 1999 (Day 15) Elf<br>-Advent Calendar 1999 (Day 22) Dog with Red Hat<br>-Advent Calendar 1999 (Day  6) Reindeer<br>-Boat<br>-Carry and Shopping Accessories<br>-Millimy the Fairy,Sets:<br>-
2009,295.0,Boulder Blaster,"Set: "
1958,96.0,ESSO Filling Station,"Set: "
1985,305.0,Delivery Center,"Set: "
1999,43.0,Road Signs<br>-Road Rebel / Buggy Racer,Sets:<br>-
2009,976.0,Family Home,"Set: "
2005,800.0,LEGO Creator Handy Box,"Set: "
1976,142.0,Helicopter and Ambulance<br>-Harley-Davidson 1000cc<br>-Rescue Set,Sets:<br>-
2015,16.0,Doc McStuffins Rosie the Ambulance<br>-LEGO Minifigures Series 13 - Complete<br>-The Simpsons Series 2 - Complete<br>-Jedi Weapon Stand,Sets:<br>-
1997,400.0,"Medium Bulk Bucket<br>-Lots of Extra Basic Bricks, 5+",Sets:<br>-
2015,6.0,Snail<br>-Hair Accessories<br>-Stormtrooper Sergeant<br>-Bionicle Hero Pack<br>-Super Heroes Avengers Collection<br>-Fencer<br>-Lady Cyclops<br>-Alien Trooper<br>-Selma<br>-Patty<br>-Smithers<br>-Lisa<br>-Bart<br>-Milhouse<br>-Comic Book Guy<br>-Wolf Guy<br>-Gargoyle<br>-Skeleton Guy<br>-Monster Rocker<br>-Monster Scientist<br>-I Love LEGOLAND Magnet [Female],Sets:<br>-
2007,140.0,Iron Condor,"Set: "
1997,254.0,Witch's Magic Manor,"Set: "
2008,719.0,Excavator,"Set: "
2008,56.0,Fire Truck<br>-Pony Jumping,Sets:<br>-
1997,22.0,Speedboat,"Set: "
2012,52.0,FXX<br>-Bunny and Chick<br>-Turkey<br>-Ivan Mater<br>-Finn McMissile,Sets:<br>-
2014,183.0,Batman: Man-Bat Attack,"Set: "
2003,19.0,Slam Dunk Trainer<br>-Slam Dunk Trainer (Kabaya Promotional)<br>-Advent Calendar 2003 Creator (Day  1) Snowman<br>-Fairyland Promo (Polybag),Sets:<br>-
1995,37.0,Freestyle Building Set<br>-Antennas and Control Sticks,Sets:<br>-
1999,93.0,McDonald's Restaurant<br>-Speeder Bikes,Sets:<br>-
1979,86.0,Space Transport,"Set: "
2001,315.0,Mechanical Engineering Set,"Set: "
2005,258.0,Fire Hammer vs. Mutant Lizards,"Set: "
2005,144.0,Dark Fortress Landing,"Set: "
2014,261.0,Arctic Helicrane<br>-General Grievous' Wheel Bike<br>-Droid Tri-Fighter,Sets:<br>-
1991,19.0,Space Jets and Wings,"Set: "
2015,28.0,Spider-Man Spider Truck Adventure<br>-Monthly Mini Model Build December 2015 - Submarine<br>-Friends Interior Design Kit<br>-Pirates Adventure<br>-Jungle Adventures<br>-Micro Electromech Robot,Sets:<br>-
1996,135.0,Manual Level Crossing,"Set: "
2003,190.0,Spider-Man&#039;s First Chase,"Set: "
2013,1010.0,Galactic Titan,"Set: "
2015,232.0,Service Truck,"Set: "
2008,334.0,Truck & Forklift,"Set: "
1991,57.0,Power Pack,"Set: "
1976,129.0,Universal Building Set,"Set: "
1993,244.0,Color Line Ferry,"Set: "
2005,500.0,50th Anniversary Bucket<br>-Free 500 LEGO Bricks (Bonus box and its contents only)<br>-Box of Bricks<br>-Large Make and Create Bucket with Special LEGO Bonus Bricks (Bucket and its contents only),Sets:<br>-
1990,32.0,Meteor Monitor,"Set: "
2009,5.0,Space Police Collection<br>-CITY Transport Collection<br>-Stormtrooper<br>-Advent Calendar 2009 Pirates (Day  7) - Pirate Female<br>-City Super Pack 5 in 1 (7632 7746 7990 8401 5620)<br>-Advent Calendar 2009 City (Day 10) Letter Carrier<br>-Advent Calendar 2009 City (Day 13) Chef and Cup<br>-Advent Calendar 2009 City (Day 16) Street Cleaner<br>-Advent Calendar 2009 City (Day  3) Sleigh<br>-Advent Calendar 2009 City (Day  7) Police Officer with Loudhailer<br>-Collectible Display Set 1 - San Diego Comic-Con 2009 Exclusive<br>-Collectible Display Set 6 - San Diego Comic-Con 2009 Exclusive,Sets:<br>-
2015,38.0,Sofia the First™ Royal Stable<br>-Spider-Man Super Jumper<br>-LEGO® DIMENSIONS™ Wicked Witch™ Fun Pack<br>-LEGO® DIMENSIONS® Krusty Fun Pack<br>-Fire vs Ice Weaponry,Sets:<br>-
2011,21.0,Bonezai<br>-Cole DX<br>-Nya<br>-Jacks Boat,Sets:<br>-
2016,1011.0,Ragana's Magic Shadow Castle,"Set: "
1991,47.0,Diesel Dumper,"Set: "
2013,709.0,Bug Obliterator,"Set: "
2002,332.0,Tower,"Set: "
1950,10.0,Individual 2 x 4 Bricks,"Set: "
2016,698.0,Misfortune’s Keep,"Set: "
2009,471.0,Basic Blue Bucket,"Set: "
1997,58.0,Speedboat<br>-Shark Attack,Sets:<br>-
1996,467.0,Dark Forest Fortress,"Set: "
2006,872.0,Tractor / Dune Buggy<br>-Tractor / Dune Buggy,Sets:<br>-
2016,100.0,Cinderella's Carriage<br>-Super Soarer,Sets:<br>-
2015,466.0,LEGO HUB Birds,"Set: "
1972,153.0,Terrace House with Car and Garage,"Set: "
2003,47.0,Flip Shot<br>-Rapid Return<br>-Paprika and the Mischievous Monkey<br>-Green Car Set,Sets:<br>-
1985,220.0,Basic Building Set,"Set: "
1998,842.0,35th Anniversary Tub,"Set: "
1974,18.0,Biplane,"Set: "
1982,83.0,Surface Explorer,"Set: "
1998,897.0,CyberMaster,"Set: "
1987,48.0,Rally Car,"Set: "
1996,259.0,Shark's Crystal Cave,"Set: "
1989,36.0,Santa,"Set: "
1997,17.0,Flying Duck<br>-Diver and Shark,Sets:<br>-
2003,517.0,Ultimate Wheels (Kohl's Exclusive),"Set: "
2008,470.0,V-19 Torrent,"Set: "
1984,38.0,Castle Mini Figures,"Set: "
2012,683.0,Destiny's Bounty,"Set: "
1980,305.0,Maersk Line Container Truck,"Set: "
2003,244.0,Motion Madness,"Set: "
2012,217.0,Car and Caravan,"Set: "
1990,559.0,Dacta Space Theme Set,"Set: "
2007,64.0,Fire Crusher,"Set: "
1986,68.0,Mobile Command Trailer,"Set: "
2009,341.0,Creationary,"Set: "
1991,244.0,Evacuation Team,"Set: "
2016,902.0,Clone Turbo Tank,"Set: "
2010,1203.0,Shuttle Adventure,"Set: "
2013,65.0,Creative Bucket<br>-Mini Speeder<br>-CHI Cragger,Sets:<br>-
2016,212.0,Venice<br>-The Water Dragon Adventure,Sets:<br>-
2001,364.0,"Buildings, Mansions and Shops<br>-Extreme Off-Roader",Sets:<br>-
2010,675.0,Obi-Wan's Jedi Starfighter - UCS,"Set: "
2003,114.0,Shoot 'N Save (FC Bayern Promo Edition)<br>-Yeti's Hideout,Sets:<br>-
2015,119.0,Mystery Plane Adventures,"Set: "
2003,36.0,Hockey Promotional Set<br>-Yellow Truck (Box version) - ANA Promotion,Sets:<br>-
1978,17.0,Lighting Bricks,"Set: "
2009,375.0,Squidman's Pitstop - Limited Edition<br>-Fight on the Flying Wing,Sets:<br>-
1989,47.0,Red Line Racer,"Set: "
1975,292.0,Central Station,"Set: "
2014,236.0,Sunshine Harvest<br>-Doc Ock Truck Heist,Sets:<br>-
2001,40.0,Aqua Res-Q Transport,"Set: "
2014,526.0,Helicopter Surveillance,"Set: "
2015,1002.0,Kylo Ren’s Command Shuttle™,"Set: "
2009,4.0,CITY Construction Collection<br>-Power Miners Promotional Polybag<br>-{Power Miners Promotional Polybag}<br>-{Power Miners Promotional Polybag}<br>-Advent Calendar 2009 Pirates (Day 14) - Mermaid<br>-Advent Calendar 2009 Pirates (Day 19) - Pirate<br>-Technic Super Pack 4 in 1 (8259 8290 8293 8294)<br>-City Super Pack 4 in 1 (7898 7997 7895 7896)<br>-City Super Pack 4 in 1 (7239 7245 8401 7638),Sets:<br>-
1998,18.0,Spacecraft<br>-Wizard Trader<br>-Raft of Johnse<br>-Plane<br>-Cross Axles<br>-Res-Q Jet-Ski<br>-Wave Saver<br>-Cams & Linkages,Sets:<br>-
1992,87.0,Backhoe,"Set: "
1994,709.0,Sail N' Fly Marina,"Set: "
2015,214.0,Dojo Showdown,"Set: "
1986,9.0,Hinges and Couplings,"Set: "
2007,406.0,Large Brick Box,"Set: "
1986,106.0,Supplementary Pack<br>-Space Radar Buggy,Sets:<br>-
1997,256.0,Boulder Cliff Canyon,"Set: "
1976,130.0,Medium Basic LEGO Set,"Set: "
2015,574.0,Doctor Who,"Set: "
1976,472.0,Zoo with Baseboard,"Set: "
1985,10.0,Fisherman,"Set: "
1998,152.0,River Response,"Set: "
1983,194.0,Remote Controlled Road Crossing,"Set: "
1998,95.0,Head Tribune<br>-Starter Set 200<br>-Sonic Stinger,Sets:<br>-
1994,65.0,Pleasure Cruiser,"Set: "
2015,716.0,Poe''s X-Wing Fighter™,"Set: "
2000,146.0,Rocket Dragster<br>-Swamp + Frost + Onyx + Dust [8509 + 8511 + 8512 + 8513],Sets:<br>-
2015,46.0,Batman Adventure<br>-Airjitzu Jay Flyer<br>-Airjitzu Cole Flyer<br>-Airjitzu Morro Flyer<br>-LEGO® DIMENSIONS™ Benny Fun Pack <br>-LEGO® DIMENSIONS™ Zane Fun Pack,Sets:<br>-
1972,66.0,Passenger Coach,"Set: "
1997,370.0,Alien Avenger<br>-Search Sub [No CD],Sets:<br>-
1971,18.0,Taxi,"Set: "
2003,354.0,Scorpion Palace,"Set: "
1993,216.0,Large Bucket for Her,"Set: "
2013,1139.0,Grand Prix Racer,"Set: "
1998,70.0,Bungee Chopper<br>-Bi-Wing Baron<br>-Blast Off Chopper with Bungee Cord Power!<br>-Trike Tourer,Sets:<br>-
1994,245.0,Coastal Patrol,"Set: "
1993,633.0,Central Precinct HQ,"Set: "
1997,8.0,Sabah Promotional Set: Swamp Boat<br>-Sabah Promotional Set: Helicopter<br>-Sabah Promotional Set: Penguin<br>-{Basic Promotional Set}<br>-Angle Beams<br>-Pamela's Picnic Time,Sets:<br>-
2005,982.0,Maersk Sealand Container Ship 2005 Edition,"Set: "
1970,109.0,Medium House Set,"Set: "
2012,14.0,"Advent Calendar 2012, Star Wars (Day 13) - Gonk Droid (GNK Power Droid)<br>-Advent Calendar 2012, Star Wars (Day 17) - Flash Speeder<br>-Advent Calendar 2012, Star Wars (Day 20) - General Grievous Starfighter<br>-Advent Calendar 2012, Star Wars (Day 4) - Star Destroyer<br>-LEGO Store Grand Opening Exclusive Set, Sheffield, UK",Sets:<br>-
1999,13.0,Johnny Thunder<br>-Plane,Sets:<br>-
1998,400.0,400-Piece Purple Bucket,"Set: "
1961,107.0,Boats,"Set: "
1999,42.0,Black Plates Assorted<br>-Witch's Cottage,Sets:<br>-
2007,373.0,MT-51 Claw-Tank Ambush<br>-Karzahni,Sets:<br>-
2015,263.0,Pop Star Limousine<br>-Batboat Harbor Pursuit,Sets:<br>-
2012,221.0,Tipper Truck<br>-Ocean Interceptor,Sets:<br>-
1986,80.0,Mill with Shop,"Set: "
2015,302.0,Creative Supplement<br>-Creative Supplement Bright,Sets:<br>-
1990,109.0,Basic Building Set,"Set: "
2015,243.0,"Building My SG - Reflect, Celebrate, Inspire","Set: "
1976,200.0,Universal Building Set,"Set: "
2008,388.0,Rockoh T3,"Set: "
2011,91.0,Lego Duck,"Set: "
1984,63.0,Police Station,"Set: "
1988,211.0,Interplanetary Rover,"Set: "
2009,364.0,Combine Harvester,"Set: "
2009,613.0,Farm,"Set: "
1996,1355.0,Space Shuttle,"Set: "
2000,130.0,Black Bus<br>-Blue Bus<br>-Americas Bus<br>-Red Bus,Sets:<br>-
2005,44.0,Sir Rascus<br>-Sir Santis<br>-Lord Vladek,Sets:<br>-
2003,27.0,Desert Racer,"Set: "
2008,87.0,Mission 1: Jetpack Pursuit,"Set: "
2015,265.0,LEGO® DIMENSIONS™ Xbox 360 Starter Pack,"Set: "
2000,29.0,Easter Bunny<br>-Easter Chicks<br>-Three Minifig Pack - Rock Raiders #3,Sets:<br>-
2002,21.0,Cam Wing Diver<br>-Ogel Marine Slizer<br>-Red Recon Flyer<br>-Evil Ogel Attack,Sets:<br>-
2013,35.0,Fawn&#039;s Forest,"Set: "
2015,333.0,Heartlake Hair Salon,"Set: "
1986,66.0,TV Camera Crew<br>-Moon Rover,Sets:<br>-
2013,441.0,Heartlake City Pool,"Set: "
1992,61.0,Mag Racer,"Set: "
2001,168.0,Car Stunt Studio<br>-Hau Mask - Green Brick (Legoland California)<br>-Hau Mask - Blue Brick (Legoland California)<br>-Hau Mask - Red Brick (Legoland California),Sets:<br>-
2009,390.0,Basic Bricks with Fun Figures,"Set: "
1995,23.0,Surveillance Scooter<br>-Surveillance Scooter,Sets:<br>-
1998,22.0,Stone Bomber<br>-Mini-Sonic,Sets:<br>-
1998,85.0,Tribune,"Set: "
1992,122.0,Assortment of Gears,"Set: "
2005,26.0,Bridge,"Set: "
2016,322.0,Volcano Crawler,"Set: "
1996,466.0,Black Hawk / Sky Stormer,"Set: "
1998,39.0,Freestyle Trial Size,"Set: "
2005,12.0,Advent Calendar 2005 City (Day  7) Safe<br>-Advent Calendar 2005 City (Day  8) Welding Tanks & Torch,Sets:<br>-
2001,234.0,Regular & Transparent Bricks Bucket,"Set: "
2010,644.0,Fire Station,"Set: "
1977,8.0,"Locomotive Wheels<br>-Train Wheels<br>-Rubber Rims for Locomotive Wheels<br>-Ball and Socket Couplings, Articulated Joint<br>-Locomotive Traction Tires",Sets:<br>-
2015,34.0,LEGO® DIMENSIONS™ Bart Fun Pack,"Set: "
1986,153.0,Container Lorry,"Set: "
2006,117.0,Ambulance,"Set: "
2005,43.0,King Mathias (Series 2),"Set: "
2012,133.0,Geonosian Cannon,"Set: "
2010,10.0,Advent Calendar 2010 City (Day 3) Skateboard with Ramp and Railing<br>-Advent Calendar 2010 City (Day 5) Drum Set<br>-Advent Calendar 2010 City (Day 7) Piano / Organ,Sets:<br>-
2013,187.0,Lego Brickmaster - The Quest for CHI,"Set: "
1987,73.0,Cycle Fix-It Shop,"Set: "
2004,124.0,Assorted Light Gray Bricks,"Set: "
2011,137.0,Dune Hopper,"Set: "
1984,565.0,Cargo Center,"Set: "
2007,804.0,Off Road Truck,"Set: "
2003,199.0,Makuta,"Set: "
1972,23.0,Mobile Crane (Train Base),"Set: "
1996,46.0,Royal Knight's Catapult,"Set: "
2001,112.0,Ice Ramp Racers,"Set: "
2014,161.0,Research Institute,"Set: "
1995,9.0,{Basic Promotional Set}<br>-Freestyle Cat,Sets:<br>-
1988,155.0,Small Bucket,"Set: "
2007,21.0,Ha-Ya-To Walker<br>-Watermelon - Capespan Promotional,Sets:<br>-
1987,162.0,Orion II Hyperspace,"Set: "
1995,600.0,Freestyle Multibox,"Set: "
1999,144.0,Blaze Attack,"Set: "
1987,50.0,Piston Rod,"Set: "
1999,258.0,Ant,"Set: "
2009,40.0,Desert Viper,"Set: "
2001,4.0,Subzero<br>-Light Unit for Train<br>-Quicky the Bunny (Nesquik Promotional)<br>-Director (Nesquik Promotional)<br>-Cameraman 1<br>-Director<br>-Grip<br>-Assistant<br>-Actress<br>-Cameraman 2<br>-Actor 2<br>-Actor 3<br>-Actor 1<br>-Katinco & Megaphone<br>-Mini Rex<br>-Dinosaurs Set<br>-Jack Stone Police Rescue Kit<br>-Dinosaurs Kit<br>-Life on Mars Kit<br>-Kabaya Bionicle 4-Pack (boxed 1417 1418 1419 1420)<br>-Creator 4-Pack<br>-Life on Mars 4-Pack<br>-Race 4-Pack<br>-Studios 4-Pack,Sets:<br>-
2010,1515.0,FIRST LEGO League Challenge 2010 - Body Forward v46,"Set: "
1955,60.0,2 x 3 Bricks,"Set: "
2002,131.0,Team Transport Bus Adidas Edition<br>-Quidditch Practice,Sets:<br>-
2011,906.0,Harbor Set,"Set: "
1989,27.0,"Weetabix Dragster<br>-LEGO Building Set B, Boat<br>-Buried Treasure",Sets:<br>-
1994,35.0,TECHNIC Chainlinks,"Set: "
2002,687.0,Fort Legoredo,"Set: "
2013,1210.0,Architecture Studio,"Set: "
1973,36.0,Rescue Units<br>-Ambulance and Helicopter,Sets:<br>-
2007,175.0,Fireboat,"Set: "
2015,72.0,Crocodile Tribe Pack<br>-Skull Basher,Sets:<br>-
1994,81.0,Van,"Set: "
2002,88.0,Beach Lookout,"Set: "
1963,6.0,6 International Flags -1-<br>-6 International Flags -2-<br>-6 International Flags -3-,Sets:<br>-
1997,18.0,Indian Kayak,"Set: "
1968,256.0,Basic Building Set,"Set: "
1998,256.0,Halloween Bucket,"Set: "
2010,31.0,Fire Chief<br>-Target Practice,Sets:<br>-
2015,1570.0,"Heartlake Grand Hotel ","Set: "
1992,45.0,Seaside Cabana<br>-Lighting Bricks,Sets:<br>-
2001,1100.0,4x4 Off Roader,"Set: "
2008,110.0,Tracks and Sprockets Pack<br>-Crazy Action Contraptions (Klutz) Vol. 2,Sets:<br>-
2012,55.0,Rocka<br>-Breez,Sets:<br>-
2015,565.0,Battle Droid Troop Carrier,"Set: "
2015,324.0,Azari and the Magical Bakery,"Set: "
1954,46.0,Gift Package (Lego Mursten),"Set: "
1992,56.0,Assortment of Tires/Wheels,"Set: "
2000,142.0,Dynamo (8521 + 8522 + 8523),"Set: "
1958,21.0,Small House - Left Set<br>-Small House - Right Set,Sets:<br>-
1974,58.0,Wall Unit,"Set: "
2003,174.0,"The Golden Palace, Blue Box","Set: "
1973,157.0,Large House Set,"Set: "
1984,34.0,Axle Assortment<br>-Basic Set,Sets:<br>-
2016,230.0,Propeller Plane<br>-Hoth Attack,Sets:<br>-
2014,62.0,Monthly Mini Model Build March 2014 - Spring Tree<br>-Glurt,Sets:<br>-
2013,30.0,Leonidas' Jungle Dragster,"Set: "
1971,170.0,Loader Hopper with Truck,"Set: "
2014,25.0,Creative Animals<br>-Sykor's Ice Cruiser<br>-Arctic Accessory Set<br>-Outland Jump,Sets:<br>-
2007,763.0,MB-01 Eagle Command Base,"Set: "
1980,676.0,Car Chassis,"Set: "
2009,194.0,Simple Machines Set,"Set: "
1998,8.0,Advent Calendar 1998 Classic Basic (Day 11) Boat<br>-Advent Calendar 1998 Classic Basic (Day 16) Boat<br>-Advent Calendar 1998 Classic Basic (Day  7) Helicopter<br>-Soccer Goalies,Sets:<br>-
1968,8.0,Pre-School Medium Set,"Set: "
2014,498.0,Jungle Rescue Base,"Set: "
2002,1076.0,Yoda,"Set: "
1997,478.0,Diving Expedition Explorer,"Set: "
1955,24.0,Windows and Doors,"Set: "
1985,273.0,Basic Building Set,"Set: "
1991,126.0,Blaze Battler,"Set: "
2014,92.0,Fire vs. Ice<br>-TIE Interceptor,Sets:<br>-
2015,1399.0,Crawler Crane,"Set: "
2016,24.0,Valentine’s day<br>-Cute Kitchen<br>-Ice Cream Cart,Sets:<br>-
1994,20.0,Shark Fisherman,"Set: "
2011,64.0,Mini Hogwarts Express<br>-The Forbidden Forest<br>-MUJI Basic Set,Sets:<br>-
1990,54.0,Battle Dragon,"Set: "
1969,107.0,Electronic Train,"Set: "
2014,123.0,Fire Emergency,"Set: "
2005,241.0,Jumping Giant,"Set: "
1986,401.0,Police Command Base,"Set: "
2014,599.0,Creative Building Cube,"Set: "
1986,150.0,Modular Space Transport<br>-Mobile Recovery Vehicle,Sets:<br>-
1969,25.0,12V Motor with Accessories Pack,"Set: "
2014,396.0,Hulk Lab Smash,"Set: "
1999,141.0,Airshow (Red Tiger),"Set: "
2009,315.0,Max Security Transport,"Set: "
2000,78.0,The Queen's Room<br>-Scorpion Buggy,Sets:<br>-
1973,190.0,Building Set,"Set: "
1998,363.0,Challenger Set 300<br>-Medium Bucket,Sets:<br>-
1977,22.0,Rally Car<br>-Supplementary Set,Sets:<br>-
1998,246.0,Cargo Center,"Set: "
1987,251.0,Stardefender 200,"Set: "
2014,107.0,Turtle Lair<br>-Gorilla Legend Beast,Sets:<br>-
1996,38.0,Paradisa Lifeguard,"Set: "
2013,81.0,Jungle Gates,"Set: "
1973,57.0,Large Ship Set,"Set: "
1977,39.0,Cowboys,"Set: "
2014,2018.0,LearnToLearn Core set,"Set: "
2006,65.0,Doctor's Car,"Set: "
2010,305.0,Cad Bane's Speeder,"Set: "
2011,332.0,Spy Jet Escape,"Set: "
1969,92.0,Truck with Crane and Caterpillar Track,"Set: "
2001,5.0,Cypress Trees<br>-Cameraman (Nesquik Promotional)<br>-Vega<br>-Mizar<br>-Altair<br>-Guard,Sets:<br>-
1973,19.0,Police Car<br>-Police Car,Sets:<br>-
2012,421.0,Oil Rig Escape,"Set: "
2000,15.0,Train Accessories<br>-Defense Archer<br>-Defense Archer<br>-Dragon Rider,Sets:<br>-
1996,28.0,Water Jet<br>-Sheriff's Showdown,Sets:<br>-
2016,304.0,Kryptonite Interception,"Set: "
1999,913.0,Mos Espa Podrace,"Set: "
1978,18.0,Street Sweeper,"Set: "
2013,159.0,Off-Road Racer,"Set: "
2009,620.0,Mindstorms NXT 2.0,"Set: "
2013,20.0,"Tonto's Campfire<br>-Advent Calendar 2013, Friends (Day 10) - Friends Accessories<br>-Friends Baking Set<br>-Advent Calendar 2013, Star Wars (Day 21) - Jango Fett's Slave I",Sets:<br>-
2015,102.0,Forest: Park<br>-Micro-Scale Space Cruiser<br>-Homing Spider Droid,Sets:<br>-
1998,17.0,King Pharaoh the Third<br>-Kellogg's Promotional Set: Car<br>-Racing Car<br>-Helicopter<br>-Dolphin Windsurfer,Sets:<br>-
2004,62.0,Assorted Dark Gray Bricks<br>-Assorted Brown Bricks<br>-LEGO Stores Easter Chick for 2004,Sets:<br>-
2011,848.0,Tokyo International Circuit,"Set: "
1993,27.0,Plane Accessories<br>-Space Accessories,Sets:<br>-
2013,340.0,Equila's Ultra Striker,"Set: "
1997,279.0,Robo Stalker,"Set: "
2004,25.0,Boba Fett&#039;s Slave I - Mini (Kabaya Box)<br>-Boba Fett's Slave I - Mini (Polybag),Sets:<br>-
1992,7.0,Deluxe Track Kit,"Set: "
2010,69.0,4 x 4 Dynamo<br>-Fire Blaster,Sets:<br>-
1999,173.0,Ninja Fire Fortress<br>-Expedition Balloon,Sets:<br>-
1998,309.0,Freestyle Playdesk,"Set: "
1994,240.0,Hot Rod Club,"Set: "
1996,16.0,Paravane<br>-Underwater Scooter<br>-Plates & Gear Racks,Sets:<br>-
2014,248.0,Police Dog Unit,"Set: "
1971,58.0,Articulated Lorry,"Set: "
1996,193.0,C26 Sea Cutter,"Set: "
2011,141.0,Off-Roader,"Set: "
1988,326.0,Excavator / Digger,"Set: "
2010,89.0,Alligator<br>-Dunkan Bulk and Vapor,Sets:<br>-
1983,22.0,Castle Figures<br>-Firemen,Sets:<br>-
2000,218.0,Mobile Outpost,"Set: "
2010,23.0,Advent Calendar 2010 City (Day 23) Christmas Tree<br>-Prince of Persia Magnet Set,Sets:<br>-
2010,5200.0,Window Exploration Bag,"Set: "
2012,324.0,Adventure Camper,"Set: "
1988,93.0,Hovercraft,"Set: "
2016,300.0,Adventure Camp Rafting<br>-Ferry,Sets:<br>-
1987,47.0,Satellite Patroller,"Set: "
2008,71.0,Ram Rod,"Set: "
2013,345.0,The Leaning Tower of Pisa<br>-Eris' Eagle Interceptor,Sets:<br>-
2015,55.0,Monthly Mini Model Build January 2015 - Alien and Space Dog<br>-Monthly Mini Model Build June 2015 - Parrot<br>-LEGO® DIMENSIONS™ Fun Pack Emmet,Sets:<br>-
2008,15.0,Advent Calendar 2008 City (Day 24) Female and Snowman,"Set: "
2001,17.0,Aeroplane<br>-Pteranodon<br>-Bears on the Beach,Sets:<br>-
2006,382.0,Grand Soccer Stadium,"Set: "
2012,474.0,T-Rex Hunter,"Set: "
2003,48.0,Toa Vakama,"Set: "
1976,41.0,Scooter<br>-Cowboys,Sets:<br>-
1987,215.0,Weetabix Town House,"Set: "
1977,471.0,Universal Building Set,"Set: "
1980,37.0,Convertible<br>-Doors and Windows Parts Pack,Sets:<br>-
2001,449.0,Watto's Junkyard,"Set: "
1970,60.0,Steam Locomotive (Push),"Set: "
2000,49.0,Rebel Chariot<br>-Wheeled Front Shovel,Sets:<br>-
1985,66.0,Basic Building Set<br>-Fire Patrol Copter,Sets:<br>-
1982,27.0,Expert Builder Power Pack,"Set: "
1992,98.0,Wolfpack Renegades,"Set: "
2005,5461.0,Star Wars / M&M Mosaic - Promo Set,"Set: "
2011,317.0,Naboo Starfighter,"Set: "
2008,646.0,LEGO Build &amp; Play [Blue Tub],"Set: "
1976,147.0,Weetabix Promotional House 1,"Set: "
1998,5.0,Advent Calendar 1998 Classic Basic (Day 13) Santa<br>-Advent Calendar 1998 Classic Basic (Day  2) Santa<br>-Kaufhof Promotional Set: German National Player and Ball<br>-Kaufhof Promotional Set: World Team Player and Ball<br>-Lego Technic Racers,Sets:<br>-
1968,5.0,Garage Plate and Door (Gray Base and Door Frame),"Set: "
2011,173.0,Prisoner Transport<br>-Police Boat,Sets:<br>-
2013,795.0,Dol Guldur Battle,"Set: "
2010,68.0,Big Farm<br>-Raid VPR<br>-Fast<br>-Monster Crab Clash,Sets:<br>-
2015,743.0,The Brick Bounty,"Set: "
1990,60.0,Crusader's Cart,"Set: "
2010,1536.0,Identity and Landscape Kit,"Set: "
1987,114.0,Refuse Collection Truck,"Set: "
1953,5.0,Individual 2 x 3 Bricks,"Set: "
2000,110.0,"Winning Team<br>-Faces, Fences, Wheels and Windows",Sets:<br>-
2001,8.0,"Huki [McDonald's Promo Set #1]<br>-Onepu [McDonald's Promo Set #2]<br>-Maku [McDonald's Promo Set #3]<br>-Jala [McDonald's Promo Set #4]<br>-Kongu [McDonald's Promo Set #5]<br>-Matoro [McDonald's Promo Set #6]<br>-Advent Calendar 2001, Creator (Day 10) Dinosaur<br>-Advent Calendar 2001, Creator (Day 24) Present<br>-Warrior",Sets:<br>-
1973,191.0,Basic Set,"Set: "
2014,476.0,Shredder's Lair Rescue,"Set: "
1988,26.0,Basic Building Set Trial Size,"Set: "
2001,445.0,Enchanted Island,"Set: "
1996,52.0,Doors and Windows,"Set: "
1968,407.0,Basic Building Set,"Set: "
1972,220.0,Train with 5 Wagons and Circle of Track,"Set: "
