year,pieces,descr,set
1966,10.0,"Windows Parts Pack, Red (The Building Toy)<br>-Windows Parts Pack, White (The Building Toy)<br>-Windows Parts Pack, Red (System)<br>-Windows Parts Pack, White (System)<br>-Cornerbricks (The Building Toy)",Sets:<br>-
1963,12.0,Small Wheels with Axles (System),"Set: "
2001,382.0,Building Stories w/NaNa Bird,"Set: "
1971,65.0,Ambulance<br>-Mini-Wheel Model Maker No. 3,Sets:<br>-
2006,17.0,Advent Calendar 2006 City (Day 12) Train Handcar,"Set: "
2013,548.0,JEK-14&#039;s Stealth Starfighter,"Set: "
2011,276.0,Transport Truck,"Set: "
1977,277.0,Firemen,"Set: "
2005,301.0,Construction Site,"Set: "
2007,5195.0,Millennium Falcon - UCS,"Set: "
1979,33.0,Taxi Station<br>-Blondi the Pig and Taxi Station,Sets:<br>-
2005,28.0,"Rahaga Gaaki<br>-Rahaga Pouks<br>-Rahaga Kualus<br>-Rahaga Norik<br>-Rahaga Bomonga<br>-Rahaga Iruini<br>-Police Motorcycle, Black Logo<br>-Bird",Sets:<br>-
1993,136.0,Ice-Sat V,"Set: "
2015,181.0,Treasure Island,"Set: "
2009,389.0,Simple and Motorized Mechanisms Base Set,"Set: "
1989,78.0,Shipwreck Island,"Set: "
1994,18.0,Gears 8- and 10-Tooth<br>-Differential and Bevel Gears,Sets:<br>-
1997,81.0,Time Tunnelator,"Set: "
2007,193.0,Skeletons' Prison Carriage,"Set: "
2015,312.0,Naida's Epic Adventure Ship,"Set: "
1998,65.0,Challenger Set 100,"Set: "
2012,91.0,The Mummy<br>-Darth Maul’s Sith Infiltrator - Mini - San Diego Comic-Con 2012 Exclusive,Sets:<br>-
1976,57.0,Jeep CJ-5,"Set: "
1999,34.0,Santa on Reindeer<br>-Try Bird<br>-Ski / Ice Slizer<br>-Granite / Rock Slizer,Sets:<br>-
2004,4.0,Advent Calendar 2004 Clikits (Day  9) Bracelet<br>-Advent Calendar 2004 Clikits (Day 13) Hair Band<br>-Advent Calendar 2004 Clikits (Day 14) Gift Tag with Icons<br>-Advent Calendar 2004 Clikits (Day 15) Ring<br>-Advent Calendar 2004 Clikits (Day 16) Necklace<br>-Advent Calendar 2004 Clikits (Day 20) Hair Band<br>-Advent Calendar 2004 Clikits (Day 21) Gift Tag with Icons<br>-Advent Calendar 2004 Clikits (Day  2) Bracelet<br>-Advent Calendar 2004 Clikits (Day  7) Gift Tag with Icons<br>-Advent Calendar 2004 Clikits (Day  8) Hair Band<br>-McDonald's Sports Set Number 3 - Blue Basketball Player #22<br>-McDonald's Sports Set Number 8 - Green Basketball Player #35<br>-McDonald's Sports Set Number 6 - Orange Vest Snowboarder<br>-Kanoka Disk Launcher Pack<br>-X-Pod Kit<br>-RIS 2.0 Basics Kit,Sets:<br>-
2011,221.0,"MBA Level One - Kit 2, Microbuild Designer","Set: "
2003,129.0,Sky Squad,"Set: "
2005,16.0,Trial Size Bag - Chromika<br>-Helicopter<br>-Hip Hair Set,Sets:<br>-
2003,350.0,Grand Central Station,"Set: "
2016,68.0,Treasure's Day at the Pool<br>-Busto<br>-Skrubz<br>-ULTIMATE Clay<br>-Doc Brown Fun Pack<br>-Mighty Micros: Batman™ vs. Catwoman™,Sets:<br>-
2013,18.0,"Advent Calendar 2013, Friends (Day 20) - Christmas Tree<br>-60024 Advent Calendar 2013, City (Day 23)<br>-Advent Calendar 2013, Star Wars (Day 19) - Separatist Shuttle",Sets:<br>-
2006,445.0,Build-A-Bob,"Set: "
1985,539.0,Airport,"Set: "
2003,71.0,NBA Jam Session Co-Pack,"Set: "
1997,553.0,Giant Model Set,"Set: "
2009,636.0,Republic Attack Shuttle,"Set: "
2006,8.0,Switching Tracks<br>-Advent Calendar 2006 City (Day  9) Computer Desk & Chair<br>-Advent Calendar 2006 City (Day  4) Airport Ground Crew,Sets:<br>-
2003,15.0,NBA Collectors #1<br>-NBA Collectors #2<br>-NBA Collectors #4<br>-NBA Collectors #5<br>-NBA Collectors #6<br>-NBA Collectors #7<br>-NBA Collectors #8,Sets:<br>-
1991,78.0,Speedway Bandit,"Set: "
2000,223.0,Pit Droid™ / Star Wars Pit Droid,"Set: "
2008,48.0,Stegosaurus<br>-Vamprah<br>-Chirox,Sets:<br>-
2008,462.0,Cargo Plane,"Set: "
2015,13.0,Forest: Ducks<br>-Mom and Baby<br>-Rally Car<br>-Spider-Man Web-Bike Workshop<br>-Tumbler,Sets:<br>-
1976,157.0,Taxi Station,"Set: "
2016,89.0,Poe Dameron,"Set: "
1996,241.0,Flying Time Vessel,"Set: "
1981,140.0,Lego Road Safety Kit,"Set: "
1955,23.0,Small House - Right Set,"Set: "
